parcel_id,target_price,max_land_value_low,max_land_value_mid,max_land_value_high,per_unit_low,per_unit_mid,per_unit_high,assumption_set_version
08223510200000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223510200000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223520130000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223520130000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223520380000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223520380000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223540050000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223540050000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223540060000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223540060000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223540160000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223540160000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223550010000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223550010000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223550030000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223550030000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223550040000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223550040000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223550070000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223550070000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223550080000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223550080000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223550090000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223550090000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223590190000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223590190000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223590200000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223590200000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223590220000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223590220000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223590230000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223590230000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223810170000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223810170000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223810250000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223810250000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223810260000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223810260000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
08223810300000,400000,-160000.0,30000.0,170000.0,-80000.0,15000.0,85000.0,v1.0-chat2
08223810300000,500000,40000.0,230000.0,370000.0,20000.0,115000.0,185000.0,v1.0-chat2
