zone_code,parcel_count,total_acres,count_sliver
AG-5,1,0.2,0
AIRPORT,142,6165.7,3
BP,22,90.8,1
CB,6,10.6,2
CC,26,17.3,7
CG,70,77.8,8
CN,6,0.5,3
CSHBD1,7,1.9,0
CSHBD2,1,0.1,0
D-1,29,12.5,10
D-2,14,7.55,1
D-3,16,4.2,0
D-4,19,37.8,2
EI,1,0.3,0
FB-SE,2,0.1,1
FB-UN1,4,1.1,0
FB-UN2,11,1.9,2
FP,28,31.1,3
FR-1,1,0.0,1
FR-2,6,19.5,2
FR-3,20,34.7,6
GMU,80,36.2,16
I,20,158.5,2
M-1,221,6118.0,14
M-2,19,27.4,1
MU,4,1.1,1
NOS,4,116.1,0
OS,516,8365.7,33
PL,218,671.8,3
PL2,3,14.3,0
R-1-12000,15,1.8,7
R-1-5000,190,49.2,77
R-1-7000,200,62.0,98
R-2,20,4.5,12
R-MU,24,12.7,2
R-MU-35,7,3.5,0
R-MU-45,3,0.4,1
RB,6,0.8,2
RMF-30,21,27.5,8
RMF-35,43,8.7,15
RMF-45,12,3.9,5
RMF-75,3,5.9,0
RO,18,14.6,3
RP,4,207.6,0
SR-1,5,0.6,2
SR-1A,32,5.6,12
SR-3,12,1.2,3
TSA-MUEC-C,19,22.1,4
TSA-MUEC-T,13,14.9,8
TSA-SP-C,6,14.1,0
TSA-SP-T,3,0.1,2
TSA-UC-C,19,8.3,4
TSA-UC-T,4,3.0,1
TSA-UN-C,17,0.8,14
TSA-UN-T,25,8.4,3
UNKNOWN,347,1577.9,86
