parcel_id,address,district,zone_label,category,fits_type,fits_units,acres,sqft
08214000240000,1396 N 2200 W,M-1,Light Manufacturing,D,none,0,15.068,656354
08223510140000,1403 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.184,8018
08223510150000,1397 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.184,8014
08223510160000,1389 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.184,8010
08223510170000,1383 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.184,8006
08223510180000,1375 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.186,8110
08223510190000,1367 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.204,8903
08223510200000,1359 N GENERAL DR,R-1-7000,Single Family Residential,B,single_family,2,0.244,10607
08223510210000,1349 N SIR PHILIP DR,R-1-7000,Single Family Residential,D,none,0,0.204,8887
08223520090000,1402 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.161,7000
08223520100000,1394 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.161,7000
08223520110000,1390 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.161,7000
08223520120000,1386 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.161,7000
08223520130000,1370 N GENERAL DR,R-1-7000,Single Family Residential,B,single_family,2,0.21,9147
08223520140000,1364 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.183,7961
08223520150000,1354 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.179,7804
08223520160000,1346 N GENERAL DR,R-1-7000,Single Family Residential,D,none,0,0.181,7881
08223520270000,1395 N MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.172,7476
08223520280000,1393 N MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.172,7474
08223520290000,1391 N MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.153,6661
08223520300000,1389 N MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.194,8452
08223520310000,1387 N MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.192,8360
08223520320000,1961 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.194,8437
08223520330000,1953 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.192,8373
08223520340000,1945 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.169,7342
08223520350000,1937 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.168,7322
08223520360000,1927 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.168,7302
08223520370000,1915 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.194,8464
08223520380000,1397 N MORTON DR,R-1-7000,Single Family Residential,A,single_family,2,0.343,14957
08223540050000,1932 W SPRINGFIELD RD,R-1-7000,Single Family Residential,B,single_family,2,0.233,10139
08223540060000,1928 W SPRINGFIELD RD,R-1-7000,Single Family Residential,B,single_family,2,0.208,9075
08223540140000,1395 N MANDALAY RD,R-1-7000,Single Family Residential,D,none,0,0.202,8791
08223540160000,1916 W SPRINGFIELD RD,R-1-7000,Single Family Residential,B,single_family,2,0.213,9278
08223550010000,1396 N MORTON DR,R-1-7000,Single Family Residential,B,single_family,2,0.212,9221
08223550020000,1941 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.194,8465
08223550030000,1937 W SPRINGFIELD RD,R-1-7000,Single Family Residential,B,single_family,2,0.233,10147
08223550040000,1935 W SPRINGFIELD RD,R-1-7000,Single Family Residential,B,single_family,2,0.215,9387
08223550050000,1923 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.187,8151
08223550060000,1915 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.193,8417
08223550070000,1394 N MORTON DR,R-1-7000,Single Family Residential,B,single_family,2,0.213,9297
08223550080000,1390 N MORTON DR,R-1-7000,Single Family Residential,B,single_family,2,0.244,10619
08223550090000,1950 W MORTON DR,R-1-7000,Single Family Residential,B,single_family,2,0.214,9326
08223550100000,1938 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.191,8323
08223550110000,1926 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.191,8322
08223550120000,1914 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.198,8627
08223580010000,1889 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.197,8582
08223580020000,1879 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580030000,1871 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580040000,1863 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580050000,1855 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580060000,1847 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580070000,1839 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580080000,1831 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580090000,1823 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580100000,1815 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580110000,1807 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580120000,1799 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.169,7343
08223580130000,1789 W NEW YORK DR,R-1-7000,Single Family Residential,D,none,0,0.181,7867
08223580140000,1894 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.172,7484
08223580150000,1888 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.159,6942
08223580160000,1876 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.159,6942
08223580170000,1868 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.159,6942
08223580180000,1860 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.159,6942
08223580190000,1854 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.159,6942
08223580200000,1842 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.159,6942
08223580210000,1830 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.159,6942
08223580220000,1822 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.161,7034
08223580230000,1812 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.161,7034
08223580240000,1804 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.161,7034
08223580250000,1794 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.171,7458
08223590010000,1895 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.178,7736
08223590020000,1889 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.166,7219
08223590030000,1877 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.166,7219
08223590040000,1869 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.166,7219
08223590050000,1861 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.166,7219
08223590060000,1855 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.166,7219
08223590070000,1841 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.166,7219
08223590080000,1829 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.177,7694
08223590090000,1821 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.19,8264
08223590100000,1811 W SPRINGFIELD RD,R-1-7000,Single Family Residential,D,none,0,0.184,8010
08223590110000,1362 N MANDALAY RD,R-1-7000,Single Family Residential,D,none,0,0.189,8246
08223590120000,1888 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.177,7713
08223590130000,1876 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.176,7686
08223590140000,1868 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.176,7660
08223590150000,1860 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.175,7633
08223590160000,1854 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.174,7597
08223590170000,1842 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.16,6961
08223590180000,1836 W MORTON DR,R-1-7000,Single Family Residential,D,none,0,0.184,8007
08223590190000,1830 W MORTON DR,R-1-7000,Single Family Residential,B,single_family,2,0.225,9801
08223590200000,1799 W SPRINGFIELD RD,R-1-7000,Single Family Residential,B,single_family,2,0.208,9050
08223590210000,1371 N MIAMI RD,R-1-7000,Single Family Residential,D,none,0,0.203,8853
